t,EEG,S1,S2,S3,ES1,ES2,ES3,,f,TS1,TS2,TS3,PSD
117,0.261903326541193,0.027135761922062,0.058309816787319,0.064612952957385,0.007106946315618,0.015271534986606,0.016922347317189,,117,0.054212578488167,0.061007550766002,0.02933940400198,0.048186511085383
118,0.193262518236294,0.027609005450628,0.058793660871108,0.064233953669521,0.005335785919388,0.011362610956281,0.012414015642445,,118,0.051588011110267,0.086565996398884,0.046762476225098,0.061638827911416
119,0.187354561786373,0.028085569350425,0.059268662598581,0.063831649094957,0.00526195953817,0.011104254308822,0.011959150644287,,119,0.081957047873236,0.093694100387108,0.032887076225323,0.069512741495222
120,0.089688807436791,0.028565380812425,0.059734558821809,0.063406084873856,0.002561994939044,0.005357521343491,0.005686816136572,,120,0.067145897856564,0.063970338911191,0.04503719400214,0.058717810256632
121,0.050932613125309,0.0290483652121,0.060191087930325,0.062957319505978,0.001479509147271,0.003065689395147,0.003206580797804,,121,0.041531968450011,0.049271741859792,0.018432205544085,0.036411971951296
122,0.008971895007174,0.029534446123642,0.060637989991667,0.062485424386803,0.000264979949716,0.000544037679651,0.000560612667077,,122,0.026963507905352,0.047196919955781,0.051962287272828,0.042040905044654
123,0.258539408480932,0.030023545335134,0.061075006891907,0.061990483835672,0.007762269651446,0.015790296154803,0.016026983022321,,123,0.021855855797774,0.016206570780496,0.043485816542043,0.027182747706771
124,0.423455792811584,0.030515582864651,0.061501882476059,0.061472595115895,0.012922000335058,0.026043328403305,0.026030926500987,,124,0.028767129630461,0.0421542755015,0.042503427847101,0.037808277659687
125,0.175080480835313,0.031010476977305,0.061918362688311,0.060931868446789,0.005429329220119,0.010840696712005,0.010667980825858,,,,,,
126,0.257840099350125,0.031508144203228,0.062324195711968,0.060368427007583,0.008124063031698,0.016069676814291,0.015565401217246,,,,,,
127,0.58448980576086,0.032008499356481,0.062719132109051,0.059782406933187,0.018708641571566,0.036658693343909,0.034942207416295,,,,,,
128,0.40321199918012,0.032511455554898,0.063102924959438,0.059173957301763,0.013109008990546,0.025443856527008,0.023859649623043,,,,,,
129,0.165531294083604,0.03301692424085,0.063475329999492,0.058543240114098,0.005465334196248,0.0105071535172,0.009690738295934,,,,,,
130,0.11741520876789,0.033524815202924,0.063836105760071,0.057890430264748,0.003936323175956,0.007495329684748,0.006797216955198,,,,,,
131,0.397581354971726,0.034035036598523,0.064185013703843,0.057215715504943,0.013531695967353,0.025518764717253,0.022747901696132,,,,,,
132,0.298785854664271,0.034547494977364,0.064521818361823,0.05651929639725,0.010322302813321,0.01927820664373,0.016887166279076,,,,,,
133,0.172548499499632,0.035062095305882,0.064846287469047,0.055801386261984,0.006049911934343,0.011189129600906,0.009628445469505,,,,,,
134,0.158104148832274,0.035578740992521,0.065158192099299,0.05506221111538,0.005625146561147,0.01030178050131,0.00870556402122,,,,,,
135,0.253680415727221,0.036097333913914,0.065457306798807,0.054302009599533,0.009157186673926,0.016605236801106,0.013775356370033,,,,,,
136,0.07619575832841,0.036617774441933,0.065743409718823,0.053521032904117,0.002790119091902,0.005009368958621,0.004078075688649,,,,,,
137,0.05179348677944,0.037139961471615,0.066016282747011,0.052719544679915,0.001923608103469,0.003419213467685,0.002730529040397,,,,,,
138,0.10554503912514,0.037663792449936,0.066275711637552,0.051897820944176,0.00397522644773,0.006995072577832,0.005477557542063,,,,,,
139,0.220499403175828,0.038189163405439,0.066521486139884,0.051056149977835,0.008420687738684,0.014667947992214,0.011257850598568,,,,,,
140,-0.008193129890643,0.038715968978697,0.066753400126012,0.050194832214648,-0.000317204962685,-0.000546919277874,-0.000411252780174,,,,,,
141,-0.309878344325347,0.0392441024536,0.066971251716275,0.049314180122256,-0.012160897492856,-0.020752940599235,-0.015281396488047,,,,,,
142,-0.159165169582464,0.039773455789462,0.067174843403527,0.048414518075269,-0.00633054883561,-0.010691895341998,-0.007705904979703,,,,,,
143,-0.261613957245686,0.040303919653923,0.067363982175621,0.047496182220384,-0.010544067913175,-0.017623357952792,-0.012425664184737,,,,,,
144,-0.268619105607736,0.040835383456648,0.067538479636137,0.046559520333635,-0.010969164181274,-0.018142125993966,-0.012506776709546,,,,,,
145,-0.230374130384982,0.0413677353838,0.067698152123268,0.045604891669809,-0.009530056065039,-0.015595902924068,-0.010506187259734,,,,,,
146,-0.193648343963636,0.041900862433275,0.06784282082678,0.044632666804134,-0.008114032620852,-0.013137649902928,-0.008643042013301,,,,,,
147,-0.200665549379665,0.042434650450686,0.067972311902993,0.043643227466284,-0.008515172445421,-0.01363970131062,-0.008757692216223,,,,,,
148,-0.292166532029564,0.042968984166087,0.068086456587674,0.042636966366815,-0.012554099088639,-0.019892583899402,-0.012457094599653,,,,,,
149,-0.353705735540578,0.043503747231413,0.068185091306798,0.041614287016096,-0.015387524913258,-0.024117457873572,-0.014719211998025,,,,,,
150,-0.164590843873208,0.04403882225862,0.068268057785081,0.040575603535847,-0.007248386918729,-0.011236297240432,-0.00667837282663,,,,,,
151,-0.306671167966819,0.044574090858527,0.068335203152236,0.039521340463376,-0.013669588504644,-0.020956436563946,-0.012120055639518,,,,,,
152,-0.188017699755242,0.045109433680314,0.068386380046853,0.038451932548622,-0.008481371957834,-0.012857849870997,-0.007229643908936,,,,,,
153,-0.09644799189766,0.045644730451687,0.068421446717852,0.037367824544109,-0.004402342592775,-0.00659911113867,-0.003604051638863,,,,,,
